Timestamp,x-top,y-top,z-top,Bt-top,x-bottom,y-bottom,z-bottom,Bt-bottom,Bt-difference
02:00:15.881999,-587,-1064,-38,1215.78,-752,1213,-22,1427.36,-211.57999999999993
02:00:16.184970,-586,-1064,-37,1215.26,-753,1213,-22,1427.89,-212.6300000000001
02:00:16.487905,-585,-1064,-38,1214.81,-754,1211,-21,1426.7,-211.8900000000001
02:00:16.791033,-590,-1066,-37,1218.94,-753,1213,-19,1427.84,-208.89999999999986
02:00:17.094401,-593,-1067,-37,1221.27,-753,1217,-19,1431.24,-209.97000000000003
02:00:17.397333,-599,-1064,-39,1221.65,-760,1209,-20,1428.17,-206.51999999999998
02:00:17.700225,-598,-1063,-39,1220.28,-752,1215,-23,1429.08,-208.79999999999995
02:00:18.003371,-605,-1062,-39,1222.86,-749,1210,-20,1423.2,-200.34000000000015
02:00:18.306075,-601,-1069,-41,1227.05,-762,1201,-21,1422.49,-195.44000000000005
02:00:18.609382,-603,-1048,-36,1209.63,-756,1202,-23,1420.17,-210.53999999999996
02:00:18.912059,-604,-1048,-43,1210.36,-758,1204,-20,1422.88,-212.5200000000002
02:00:19.214957,-606,-1047,-43,1210.49,-757,1201,-20,1419.81,-209.31999999999994
02:00:19.518451,-610,-1046,-41,1211.57,-761,1199,-20,1420.25,-208.68000000000006
02:00:19.821376,-615,-1048,-42,1215.85,-767,1195,-24,1420.17,-204.32000000000016
02:00:20.124396,-617,-1052,-37,1220.15,-776,1192,-27,1422.59,-202.43999999999983
02:00:20.427378,-611,-1055,-40,1219.81,-780,1197,-22,1428.88,-209.07000000000016
02:00:20.730311,-614,-1059,-41,1224.81,-782,1216,-21,1445.9,-221.09000000000015
02:00:21.033391,-612,-1057,-40,1222.04,-783,1193,-20,1427.14,-205.10000000000014
02:00:21.336447,-609,-1061,-38,1223.95,-778,1196,-26,1427.02,-203.06999999999994
02:00:21.639077,-609,-1055,-42,1218.88,-768,1196,-25,1421.57,-202.68999999999983
02:00:21.942336,-603,-1059,-39,1219.27,-769,1193,-22,1419.54,-200.26999999999998
02:00:22.245050,-608,-1050,-38,1213.92,-772,1189,-26,1417.88,-203.96000000000004
02:00:22.548110,-607,-1047,-41,1210.92,-767,1196,-19,1420.94,-210.01999999999998
02:00:22.851444,-605,-1049,-41,1211.65,-770,1192,-22,1419.24,-207.58999999999992
02:00:23.154040,-597,-1054,-41,1212.03,-774,1191,-21,1420.56,-208.52999999999997
02:00:23.457473,-597,-1054,-42,1212.06,-774,1190,-22,1419.74,-207.68000000000006
02:00:23.760392,-597,-1055,-41,1212.9,-775,1191,-23,1421.14,-208.24
