Timestamp,x-top,y-top,z-top,Bt-top,x-bottom,y-bottom,z-bottom,Bt-bottom,Bt-difference
04:04:26.349075,-496,-1112,-41,1218.29,-476,1380,9,1459.81,-241.51999999999998
04:04:26.652186,-499,-1112,-40,1219.49,-475,1380,10,1459.49,-240.0
04:04:26.955381,-498,-1108,-41,1215.46,-473,1380,10,1458.85,-243.38999999999987
04:04:27.258478,-501,-1110,-43,1218.59,-481,1378,10,1459.57,-240.98000000000002
04:04:27.561444,-506,-1111,-44,1221.59,-481,1384,10,1465.24,-243.6500000000001
04:04:27.864203,-511,-1116,-44,1228.22,-492,1381,7,1466.04,-237.81999999999994
04:04:28.167439,-507,-1121,-36,1230.85,-495,1386,0,1471.74,-240.8900000000001
04:04:28.470375,-502,-1123,-40,1230.74,-478,1394,4,1473.68,-242.94000000000005
04:04:28.773546,-496,-1121,-36,1226.36,-477,1395,7,1474.31,-247.95000000000005
04:04:29.076280,-508,-1131,-36,1240.37,-486,1392,11,1474.44,-234.07000000000016
04:04:29.379518,-528,-1152,-39,1267.84,-490,1384,4,1468.19,-200.35000000000014
04:04:29.682317,-544,-1140,-42,1263.84,-487,1382,5,1465.3,-201.46000000000004
04:04:29.985067,-568,-1123,-42,1259.17,-489,1376,5,1460.32,-201.14999999999986
04:04:30.288471,-571,-1118,-38,1255.95,-485,1378,-3,1460.86,-204.90999999999985
04:04:30.591341,-558,-1121,-43,1252.94,-480,1377,3,1458.27,-205.32999999999993
04:04:30.894487,-558,-1122,-43,1253.83,-485,1374,6,1457.1,-203.26999999999998
04:04:31.197101,-560,-1124,-44,1256.55,-499,1374,7,1461.82,-205.26999999999998
04:04:31.500450,-563,-1119,-43,1253.39,-541,1371,3,1473.88,-220.49
04:04:31.803389,-571,-1121,-40,1258.68,-538,1418,-2,1516.63,-257.95000000000005
04:04:32.106419,-560,-1126,-38,1258.14,-515,1431,-5,1520.86,-262.7199999999998
04:04:32.409093,-578,-1126,-44,1266.45,-501,1434,1,1519.0,-252.54999999999995
04:04:32.712442,-578,-1118,-41,1259.24,-514,1430,3,1519.57,-260.3299999999999
04:04:33.014948,-580,-1120,-39,1261.87,-512,1423,1,1512.31,-250.44000000000005
04:04:33.318448,-581,-1114,-42,1257.11,-511,1418,-3,1507.27,-250.16000000000008
04:04:33.621381,-582,-1107,-38,1251.25,-503,1415,3,1501.75,-250.5
04:04:33.924059,-583,-1103,-42,1248.3,-517,1416,-4,1507.44,-259.1400000000001
04:04:34.227088,-586,-1106,-42,1252.36,-510,1418,-2,1506.93,-254.57000000000016
04:04:34.530470,-481,-1117,-36,1216.69,-537,1410,0,1508.8,-292.1099999999999
04:04:34.833089,-483,-1118,-40,1218.53,-555,1400,-3,1506.0,-287.47
04:04:35.136351,-500,-1113,-40,1220.81,-584,1388,-5,1505.86,-285.04999999999995
04:04:35.439495,-537,-1099,-41,1223.87,-588,1389,-7,1508.35,-284.48
04:04:35.742046,-549,-1091,-36,1221.87,-584,1396,-10,1513.27,-291.4000000000001
04:04:36.045034,-532,-1096,-42,1219.02,-571,1397,-4,1509.19,-290.1700000000001
04:04:36.348505,-536,-1098,-39,1222.47,-572,1398,-2,1510.49,-288.02
04:04:36.651530,-537,-1099,-39,1223.8,-570,1403,-2,1514.37,-290.56999999999994
04:04:36.954467,-570,-1079,-42,1221.03,-404,1416,14,1472.57,-251.53999999999996
04:04:37.257578,-556,-1086,-39,1220.68,-436,1404,12,1470.19,-249.51
04:04:37.560423,-568,-1073,-41,1214.76,-497,1376,5,1463.01,-248.25
04:04:37.863192,-573,-1071,-38,1215.24,-483,1387,0,1468.69,-253.45000000000005
04:04:38.166552,-565,-1078,-40,1217.75,-489,1385,1,1468.79,-251.03999999999996
04:04:38.469334,-570,-1071,-42,1213.96,-483,1384,3,1465.86,-251.89999999999986
04:04:38.772482,-557,-1074,-43,1210.61,-478,1392,4,1471.79,-261.18000000000006
04:04:39.075141,-564,-1078,-44,1217.42,-467,1390,3,1466.36,-248.93999999999983
