Timestamp,x-top,y-top,z-top,Bt-top,x-bottom,y-bottom,z-bottom,Bt-bottom,Bt-difference
01:44:02.033891,-606,-1057,-40,1219.05,-787,1191,-23,1427.72,-208.67000000000007
01:44:02.336849,-608,-1056,-41,1219.21,-786,1192,-24,1428.02,-208.80999999999995
01:44:02.639726,-612,-1052,-42,1217.79,-786,1194,-24,1429.69,-211.9000000000001
01:44:02.942719,-610,-1057,-40,1221.04,-781,1195,-25,1427.8,-206.76
01:44:03.245922,-608,-1059,-39,1221.75,-775,1198,-24,1427.03,-205.27999999999997
01:44:03.548885,-603,-1055,-42,1215.89,-778,1191,-22,1422.76,-206.8699999999999
01:44:03.851928,-602,-1055,-38,1215.27,-776,1191,-26,1421.74,-206.47000000000003
01:44:04.154943,-600,-1046,-42,1206.6,-772,1195,-19,1422.8,-216.20000000000005
01:44:04.457748,-611,-1077,-44,1239.03,-773,1195,-22,1423.39,-184.36000000000013
01:44:04.760918,-626,-1087,-43,1255.11,-777,1194,-21,1424.71,-169.60000000000014
01:44:05.063818,-606,-1036,-44,1201.03,-776,1193,-24,1423.38,-222.35000000000014
01:44:05.366839,-610,-1046,-42,1211.6,-780,1193,-26,1425.6,-214.0
01:44:05.669825,-618,-1046,-43,1215.68,-784,1195,-27,1429.48,-213.79999999999995
01:44:05.972793,-618,-1048,-36,1217.18,-783,1196,-22,1429.68,-212.5
01:44:06.275717,-617,-1052,-41,1220.28,-782,1196,-22,1429.13,-208.85000000000014
01:44:06.578706,-614,-1055,-41,1221.35,-782,1185,-22,1419.94,-198.59000000000015
01:44:06.881980,-611,-1053,-40,1218.08,-779,1218,-24,1446.01,-227.93000000000006
01:44:07.184530,-613,-1058,-40,1223.41,-794,1253,-23,1483.57,-260.15999999999985
01:44:07.487877,-611,-1050,-42,1215.56,-773,1175,-24,1406.67,-191.11000000000013
01:44:07.790568,-603,-1057,-38,1217.5,-772,1194,-23,1422.02,-204.51999999999998
01:44:08.093966,-607,-1049,-41,1212.65,-774,1194,-22,1423.09,-210.43999999999983
01:44:08.396568,-605,-1048,-42,1210.82,-776,1188,-22,1419.16,-208.34000000000015
01:44:08.699946,-608,-1043,-42,1208.01,-778,1189,-22,1421.09,-213.07999999999993
01:44:09.002715,-608,-1042,-43,1207.18,-784,1190,-26,1425.28,-218.0999999999999
01:44:09.305779,-610,-1044,-43,1209.91,-791,1189,-27,1428.33,-218.41999999999985
01:44:09.608580,-615,-1048,-41,1215.82,-788,1195,-24,1431.62,-215.79999999999995
01:44:09.911748,-624,-1046,-40,1218.64,-788,1195,-23,1431.61,-212.9699999999998
01:44:10.215052,-623,-1048,-41,1219.88,-788,1197,-22,1433.26,-213.37999999999988
01:44:10.517677,-622,-1045,-40,1216.76,-787,1194,-22,1430.21,-213.45000000000005
