time,Bx,By,Bz,Btotal
2023-06-06 13:24:52.2180,-24.63,-190.63,2541.92,2549.17
2023-06-06 13:24:52.3170,-24.65,-190.52,2542.17,2549.42
2023-06-06 13:24:52.4160,-24.79,-190.69,2541.73,2548.99
2023-06-06 13:24:52.5160,-24.68,-190.67,2542.0,2549.26
2023-06-06 13:24:52.6150,-24.61,-190.72,2541.43,2548.69
2023-06-06 13:24:52.7150,-24.57,-190.6,2541.43,2548.69
2023-06-06 13:24:52.8140,-24.6,-190.78,2541.5,2548.77
2023-06-06 13:24:52.9140,-24.43,-190.64,2542.17,2549.43
2023-06-06 13:24:53.0130,-24.52,-190.55,2541.66,2548.91
2023-06-06 13:24:53.1120,-22.87,-191.21,2542.52,2549.8
2023-06-06 13:24:53.2120,-21.06,-190.39,2541.13,2548.34
2023-06-06 13:24:53.3110,-20.61,-189.45,2539.87,2547.01
2023-06-06 13:24:53.4100,-19.72,-189.48,2540.73,2547.86
2023-06-06 13:24:53.5100,-18.78,-189.16,2538.95,2546.06
2023-06-06 13:24:53.6090,-18.07,-189.09,2538.56,2545.65
2023-06-06 13:24:53.7080,-14.67,-189.63,2539.13,2546.25
2023-06-06 13:24:53.8080,-14.12,-189.42,2538.05,2545.15
2023-06-06 13:24:53.9070,-12.84,-189.72,2538.48,2545.6
2023-06-06 13:24:54.0070,-11.84,-190.2,2539.18,2546.33
2023-06-06 13:24:54.1060,-9.34,-190.02,2539.35,2546.47
2023-06-06 13:24:54.2060,-8.42,-189.75,2540.14,2547.24
2023-06-06 13:24:54.3050,-6.82,-188.7,2539.32,2546.33
2023-06-06 13:24:54.4040,-6.02,-187.96,2538.06,2545.02
2023-06-06 13:24:54.5040,-4.73,-187.16,2536.94,2543.83
2023-06-06 13:24:54.6030,-5.75,-187.33,2535.39,2542.31
2023-06-06 13:24:54.7030,-5.73,-187.17,2535.04,2541.95
2023-06-06 13:24:54.8020,-5.13,-186.91,2534.39,2541.28
2023-06-06 13:24:54.9010,-4.53,-187.08,2534.69,2541.59
2023-06-06 13:24:55.0010,-4.48,-186.99,2535.05,2541.94
2023-06-06 13:24:55.1000,-3.87,-185.27,2532.5,2539.27
2023-06-06 13:24:55.1990,-4.3,-185.39,2533.48,2540.26
2023-06-06 13:24:55.2990,-5.05,-183.39,2530.33,2536.97
2023-06-06 13:24:55.3980,-8.48,-178.82,2525.62,2531.96
2023-06-06 13:24:55.4980,-11.89,-175.3,2521.1,2527.21
2023-06-06 13:24:55.5970,-14.21,-172.54,2515.71,2521.66
2023-06-06 13:24:55.6970,-15.87,-170.82,2514.04,2519.89
2023-06-06 13:24:55.7960,-16.79,-169.09,2512.63,2518.37
2023-06-06 13:24:55.8950,-17.99,-167.54,2511.57,2517.22
2023-06-06 13:24:55.9950,-19.73,-167.42,2510.5,2516.15
2023-06-06 13:24:56.0940,-21.23,-167.93,2511.97,2517.66
2023-06-06 13:24:56.1920,-25.75,-170.87,2516.12,2522.05
2023-06-06 13:24:56.2910,-25.52,-171.96,2516.89,2522.89
2023-06-06 13:24:56.3910,-24.42,-173.04,2517.74,2523.79
2023-06-06 13:24:56.4900,-25.08,-174.09,2520.19,2526.32
2023-06-06 13:24:56.5900,-24.71,-176.21,2523.15,2529.41
2023-06-06 13:24:56.6890,-23.31,-177.58,2524.9,2531.24
2023-06-06 13:24:56.7890,-22.66,-178.39,2525.74,2532.13
2023-06-06 13:24:56.8880,-21.76,-179.21,2526.03,2532.47
2023-06-06 13:24:56.9870,-17.9,-178.79,2526.23,2532.61
2023-06-06 13:24:57.0870,-12.39,-178.43,2526.05,2532.37
2023-06-06 13:24:57.1860,-7.76,-179.32,2526.39,2532.76
2023-06-06 13:24:57.2860,-3.77,-180.54,2527.36,2533.81
2023-06-06 13:24:57.3850,0.4,-181.64,2529.63,2536.14
2023-06-06 13:24:57.4850,4.56,-183.64,2531.77,2538.43
2023-06-06 13:24:57.5840,7.57,-185.81,2534.22,2541.04
2023-06-06 13:24:57.6830,10.44,-187.42,2535.47,2542.41
2023-06-06 13:24:57.7820,13.21,-188.3,2535.08,2542.09
2023-06-06 13:24:57.8820,16.75,-190.53,2536.15,2543.35
2023-06-06 13:24:57.9810,21.77,-193.4,2540.8,2548.24
2023-06-06 13:24:58.0810,24.83,-197.42,2545.03,2552.79
2023-06-06 13:24:58.1800,32.68,-200.37,2549.83,2557.9
2023-06-06 13:24:58.2790,29.66,-196.71,2541.86,2549.63
2023-06-06 13:24:58.3790,26.94,-196.15,2537.94,2545.65
2023-06-06 13:24:58.4780,25.05,-197.71,2536.92,2544.73
2023-06-06 13:24:58.5780,24.25,-199.61,2539.42,2547.37
2023-06-06 13:24:58.6770,21.12,-198.68,2538.66,2546.51
2023-06-06 13:24:58.7760,18.5,-198.1,2537.98,2545.77
2023-06-06 13:24:58.8760,16.5,-199.0,2538.01,2545.86
2023-06-06 13:24:58.9750,13.15,-201.71,2540.33,2548.36
2023-06-06 13:24:59.0750,9.53,-204.92,2543.31,2551.57
2023-06-06 13:24:59.1740,6.69,-207.98,2546.89,2555.37
2023-06-06 13:24:59.2730,4.42,-210.3,2548.87,2557.53
2023-06-06 13:24:59.3730,2.68,-212.75,2551.13,2559.99
2023-06-06 13:24:59.4720,0.43,-214.96,2553.37,2562.4
2023-06-06 13:24:59.5720,0.25,-216.28,2553.97,2563.11
2023-06-06 13:24:59.6710,0.61,-217.85,2555.7,2564.97
2023-06-06 13:24:59.7700,0.33,-220.03,2558.28,2567.72
2023-06-06 13:24:59.8700,0.24,-222.08,2560.68,2570.29
2023-06-06 13:24:59.9690,-1.33,-224.1,2562.35,2572.13
2023-06-06 13:25:00.0690,-3.52,-226.36,2564.71,2574.68
2023-06-06 13:25:00.1680,-3.32,-226.65,2564.53,2574.53
2023-06-06 13:25:00.2670,1.9,-224.22,2562.63,2572.42
2023-06-06 13:25:00.3660,10.7,-221.38,2561.03,2570.61
2023-06-06 13:25:00.4660,13.73,-220.79,2559.75,2569.29
2023-06-06 13:25:00.5680,16.48,-220.79,2560.05,2569.6
2023-06-06 13:25:00.6670,18.89,-220.7,2558.87,2568.44
2023-06-06 13:25:00.7670,20.69,-220.27,2558.64,2568.19
2023-06-06 13:25:00.8660,22.02,-219.62,2558.39,2567.9
2023-06-06 13:25:00.9650,23.51,-218.43,2558.58,2567.99
2023-06-06 13:25:01.0650,25.11,-216.58,2556.72,2566.0
2023-06-06 13:25:01.1640,26.33,-215.1,2554.74,2563.91
2023-06-06 13:25:01.2630,26.39,-214.86,2554.2,2563.36
2023-06-06 13:25:01.3630,25.07,-214.0,2552.82,2561.89
2023-06-06 13:25:01.4620,25.54,-212.78,2550.87,2559.86
2023-06-06 13:25:01.5620,26.55,-212.33,2550.41,2559.38
2023-06-06 13:25:01.6610,26.05,-211.6,2550.26,2559.16
2023-06-06 13:25:01.7610,25.14,-211.87,2550.86,2559.77
2023-06-06 13:25:01.8600,24.79,-209.06,2547.14,2555.82
2023-06-06 13:25:01.9590,24.65,-208.52,2545.47,2554.12
2023-06-06 13:25:02.0590,21.26,-205.22,2542.12,2550.48
2023-06-06 13:25:02.1580,17.57,-202.85,2538.36,2546.51
2023-06-06 13:25:02.2570,16.8,-203.05,2538.34,2546.5
2023-06-06 13:25:02.3570,13.09,-206.02,2541.26,2549.63
2023-06-06 13:25:02.4560,5.07,-209.32,2548.92,2557.5
2023-06-06 13:25:02.5560,4.63,-206.46,2544.35,2552.71
2023-06-06 13:25:02.6550,10.61,-198.03,2530.01,2537.77
2023-06-06 13:25:02.7540,11.32,-196.98,2526.65,2534.34
2023-06-06 13:25:02.8540,11.59,-198.14,2526.71,2534.5
2023-06-06 13:25:02.9530,6.88,-201.36,2532.61,2540.61
2023-06-06 13:25:03.0520,8.87,-201.49,2532.35,2540.37
2023-06-06 13:25:03.1520,8.43,-203.23,2535.44,2543.59
2023-06-06 13:25:03.2510,7.74,-204.37,2537.08,2545.31
2023-06-06 13:25:03.3510,8.29,-206.52,2540.49,2548.88
2023-06-06 13:25:03.4500,9.39,-208.38,2542.41,2550.95
2023-06-06 13:25:03.5500,9.75,-210.07,2544.57,2553.24
2023-06-06 13:25:03.6490,11.68,-210.83,2545.36,2554.11
2023-06-06 13:25:03.7480,16.04,-211.13,2546.27,2555.06
2023-06-06 13:25:03.8480,21.72,-211.6,2546.55,2555.42
2023-06-06 13:25:03.9470,26.37,-212.76,2547.71,2556.71
2023-06-06 13:25:04.0460,31.14,-214.41,2549.47,2558.66
2023-06-06 13:25:04.1430,35.65,-215.9,2552.2,2561.57
2023-06-06 13:25:04.2430,39.66,-217.78,2555.09,2564.66
2023-06-06 13:25:04.3420,42.67,-219.64,2558.05,2567.81
2023-06-06 13:25:04.4410,45.2,-220.63,2557.78,2567.67
2023-06-06 13:25:04.5450,48.88,-222.07,2558.9,2568.99
2023-06-06 13:25:04.6440,51.33,-222.67,2560.16,2570.34
2023-06-06 13:25:04.7430,52.52,-222.78,2560.05,2570.27
2023-06-06 13:25:04.8430,53.76,-223.07,2559.93,2570.19
2023-06-06 13:25:04.9420,56.37,-223.94,2560.21,2570.61
2023-06-06 13:25:05.0420,57.26,-225.63,2562.15,2572.7
2023-06-06 13:25:05.1410,57.04,-227.35,2564.32,2575.01
2023-06-06 13:25:05.2400,56.18,-229.06,2565.96,2576.78
2023-06-06 13:25:05.3400,54.02,-229.89,2566.54,2577.38
2023-06-06 13:25:05.4390,50.04,-228.17,2565.02,2575.64
2023-06-06 13:25:05.5390,47.44,-228.74,2566.23,2576.84
2023-06-06 13:25:05.6380,44.49,-229.85,2566.09,2576.75
2023-06-06 13:25:05.7370,40.32,-232.54,2568.36,2579.18
2023-06-06 13:25:05.8370,35.99,-235.59,2571.47,2582.49
2023-06-06 13:25:05.9360,32.81,-238.09,2574.05,2585.25
2023-06-06 13:25:06.0360,30.18,-240.32,2576.19,2587.55
2023-06-06 13:25:06.1350,27.44,-242.72,2578.97,2590.52
2023-06-06 13:25:06.2340,25.31,-244.64,2580.07,2591.76
2023-06-06 13:25:06.3340,24.33,-245.79,2580.51,2592.31
2023-06-06 13:25:06.4330,23.05,-247.69,2582.86,2594.81
2023-06-06 13:25:06.5320,21.65,-249.78,2584.78,2596.91
2023-06-06 13:25:06.6320,19.41,-251.53,2587.9,2600.16
2023-06-06 13:25:06.7310,16.34,-253.91,2589.67,2602.14
2023-06-06 13:25:06.8310,13.57,-256.07,2592.04,2604.7
2023-06-06 13:25:06.9300,13.86,-255.65,2590.79,2603.41
2023-06-06 13:25:07.0300,19.38,-253.04,2589.47,2601.87
2023-06-06 13:25:07.1290,27.75,-249.95,2587.92,2600.11
2023-06-06 13:25:07.2280,30.14,-249.31,2586.8,2598.96
2023-06-06 13:25:07.3280,31.99,-249.25,2585.85,2598.03
2023-06-06 13:25:07.4270,33.61,-248.93,2585.64,2597.81
2023-06-06 13:25:07.5260,34.31,-248.44,2584.57,2596.71
2023-06-06 13:25:07.6260,35.2,-247.36,2584.0,2596.05
