time,Bx,By,Bz,Btotal
2023-06-09 14:18:00.0870,-46.47,-2661.8,-55.66,2662.79
2023-06-09 14:18:00.1870,-46.87,-2661.3,-55.7,2662.3
2023-06-09 14:18:00.2870,-46.54,-2661.29,-55.91,2662.29
2023-06-09 14:18:00.3860,-46.92,-2661.9,-55.87,2662.9
2023-06-09 14:18:00.4860,-46.75,-2662.42,-55.83,2663.42
2023-06-09 14:18:00.5860,-47.19,-2662.5,-56.13,2663.51
2023-06-09 14:18:00.6870,-47.16,-2662.9,-55.84,2663.9
2023-06-09 14:18:00.7840,-47.28,-2662.9,-55.39,2663.89
2023-06-09 14:18:00.8850,-47.07,-2662.28,-55.9,2663.28
2023-06-09 14:18:00.9810,-47.07,-2662.87,-55.59,2663.87
2023-06-09 14:18:01.0800,-47.05,-2662.32,-55.5,2663.32
2023-06-09 14:18:01.1790,-47.3,-2662.52,-55.63,2663.52
2023-06-09 14:18:01.2790,-47.16,-2662.62,-55.19,2663.61
2023-06-09 14:18:01.3770,-46.95,-2662.74,-55.39,2663.73
2023-06-09 14:18:01.4770,-47.19,-2662.67,-55.06,2663.65
2023-06-09 14:18:01.5770,-47.08,-2663.22,-55.28,2664.21
2023-06-09 14:18:01.6770,-47.45,-2661.49,-54.99,2662.48
2023-06-09 14:18:01.7790,-47.38,-2662.05,-55.32,2663.04
2023-06-09 14:18:01.8770,-47.4,-2662.15,-55.51,2663.15
2023-06-09 14:18:01.9760,-47.03,-2662.49,-53.84,2663.45
2023-06-09 14:18:02.0770,-46.52,-2661.73,-53.14,2662.67
2023-06-09 14:18:02.1760,-45.73,-2661.28,-51.99,2662.18
2023-06-09 14:18:02.2750,-43.33,-2660.71,-48.02,2661.49
2023-06-09 14:18:02.3750,-38.42,-2658.86,-47.44,2659.56
2023-06-09 14:18:02.4740,-35.23,-2657.89,-41.26,2658.45
2023-06-09 14:18:02.5730,-31.51,-2656.93,-39.34,2657.41
2023-06-09 14:18:02.6760,-28.98,-2655.8,-28.21,2656.11
2023-06-09 14:18:02.7690,-31.0,-2658.41,-18.31,2658.66
2023-06-09 14:18:02.8680,-28.19,-2658.26,-9.71,2658.43
2023-06-09 14:18:02.9680,-28.44,-2659.17,-1.91,2659.32
2023-06-09 14:18:03.0670,-28.87,-2658.7,-2.63,2658.86
2023-06-09 14:18:03.1690,-31.63,-2658.93,-5.73,2659.13
2023-06-09 14:18:03.2690,-34.54,-2661.69,-12.01,2661.94
2023-06-09 14:18:03.3670,-35.32,-2663.95,-16.5,2664.23
2023-06-09 14:18:03.4660,-38.26,-2665.66,-19.74,2666.01
2023-06-09 14:18:03.5670,-38.44,-2664.88,-24.53,2665.27
2023-06-09 14:18:03.6670,-41.21,-2665.37,-20.2,2665.77
2023-06-09 14:18:03.7670,-42.74,-2666.79,-23.15,2667.23
2023-06-09 14:18:03.8650,-42.18,-2667.47,-22.98,2667.9
2023-06-09 14:18:03.9650,-43.37,-2670.53,-30.83,2671.06
2023-06-09 14:18:04.0650,-44.21,-2671.21,-23.51,2671.68
2023-06-09 14:18:04.1640,-42.6,-2671.77,-30.14,2672.28
2023-06-09 14:18:04.2630,-43.56,-2672.9,-24.27,2673.37
2023-06-09 14:18:04.3650,-43.37,-2674.48,-17.96,2674.89
2023-06-09 14:18:04.4650,-44.37,-2675.04,10.71,2675.43
2023-06-09 14:18:04.5640,-42.59,-2672.09,-5.68,2672.43
2023-06-09 14:18:04.6600,-41.59,-2673.23,-5.06,2673.56
2023-06-09 14:18:04.7580,-39.62,-2673.93,-3.01,2674.23
2023-06-09 14:18:04.8570,-38.25,-2672.31,4.29,2672.58
2023-06-09 14:18:04.9580,-38.42,-2673.39,-2.8,2673.67
2023-06-09 14:18:05.0580,-37.93,-2671.99,2.12,2672.26
2023-06-09 14:18:05.1570,-36.44,-2672.32,8.82,2672.59
2023-06-09 14:18:05.2560,-38.27,-2671.68,0.82,2671.95
2023-06-09 14:18:05.3550,-38.63,-2670.67,-8.83,2670.97
2023-06-09 14:18:05.4540,-37.25,-2670.28,-14.53,2670.58
2023-06-09 14:18:05.5550,-33.95,-2671.65,-24.14,2671.98
2023-06-09 14:18:05.6550,-33.31,-2673.07,-28.17,2673.43
2023-06-09 14:18:05.7540,-33.86,-2671.04,-20.19,2671.33
2023-06-09 14:18:05.8550,-33.98,-2673.53,-26.39,2673.88
2023-06-09 14:18:05.9540,-33.84,-2670.18,-30.17,2670.56
2023-06-09 14:18:06.0540,-33.08,-2670.84,-34.66,2671.27
2023-06-09 14:18:06.1480,-34.12,-2671.63,-35.42,2672.08
2023-06-09 14:18:06.2480,-36.06,-2673.46,-46.12,2674.1
2023-06-09 14:18:06.3470,-35.28,-2674.05,-45.62,2674.67
2023-06-09 14:18:06.4470,-35.76,-2674.09,-43.95,2674.69
2023-06-09 14:18:06.5460,-34.59,-2674.16,-39.18,2674.67
2023-06-09 14:18:06.6450,-33.5,-2674.05,-35.43,2674.5
2023-06-09 14:18:06.7470,-32.19,-2674.92,-36.85,2675.37
2023-06-09 14:18:06.8480,-28.3,-2675.48,-29.91,2675.79
2023-06-09 14:18:06.9460,-26.25,-2674.0,-31.22,2674.31
2023-06-09 14:18:07.0470,-20.98,-2680.2,-64.24,2681.05
2023-06-09 14:18:07.1450,-24.12,-2679.42,-2.29,2679.53
2023-06-09 14:18:07.2450,-22.25,-2678.77,-10.53,2678.89
2023-06-09 14:18:07.3450,-20.06,-2680.55,-13.34,2680.66
2023-06-09 14:18:07.4440,-22.53,-2679.51,7.33,2679.62
2023-06-09 14:18:07.5440,-23.79,-2679.02,-27.0,2679.26
2023-06-09 14:18:07.6440,-25.97,-2682.26,-35.37,2682.62
2023-06-09 14:18:07.7420,-26.48,-2683.65,-45.66,2684.17
2023-06-09 14:18:07.8380,-29.48,-2685.33,-52.26,2686.0
2023-06-09 14:18:07.9430,-29.65,-2686.91,-65.0,2687.86
2023-06-09 14:18:08.0370,-34.88,-2686.5,-49.45,2687.18
2023-06-09 14:18:08.1360,-36.6,-2686.17,-67.5,2687.27
2023-06-09 14:18:08.2350,-37.85,-2687.85,-63.89,2688.88
2023-06-09 14:18:08.3360,-39.69,-2689.94,-68.11,2691.09
2023-06-09 14:18:08.4340,-39.46,-2691.8,-76.52,2693.17
2023-06-09 14:18:08.5370,-37.79,-2691.08,-92.64,2692.94
2023-06-09 14:18:08.6360,-36.08,-2693.91,-77.61,2695.27
2023-06-09 14:18:08.7330,-34.19,-2695.53,-73.67,2696.75
2023-06-09 14:18:08.8330,-34.45,-2694.76,-61.72,2695.69
2023-06-09 14:18:08.9340,-35.93,-2694.56,-59.29,2695.45
2023-06-09 14:18:09.0340,-34.49,-2694.84,-57.64,2695.68
2023-06-09 14:18:09.1330,-33.32,-2695.79,-63.8,2696.75
2023-06-09 14:18:09.2330,-31.74,-2695.38,-52.4,2696.07
2023-06-09 14:18:09.3320,-32.35,-2696.07,-50.97,2696.74
2023-06-09 14:18:09.4320,-33.12,-2694.59,-46.9,2695.2
2023-06-09 14:18:09.5310,-30.16,-2692.98,-39.39,2693.44
2023-06-09 14:18:09.6330,-34.93,-2691.48,-44.23,2692.07
2023-06-09 14:18:09.7330,-32.95,-2691.8,-55.76,2692.58
2023-06-09 14:18:09.8260,-31.46,-2691.68,-67.6,2692.71
2023-06-09 14:18:09.9250,-27.49,-2690.9,-56.33,2691.63
2023-06-09 14:18:10.0240,-24.8,-2689.86,-62.49,2690.7
2023-06-09 14:18:10.1260,-24.34,-2687.65,-50.43,2688.24
2023-06-09 14:18:10.2240,-25.71,-2686.0,-44.17,2686.48
2023-06-09 14:18:10.3240,-25.95,-2683.56,-52.21,2684.2
