time,Bx,By,Bz,Btotal
2023-06-08 9:51:53.8760,-152.23,-2180.66,22.53,2186.09
2023-06-08 9:51:53.9740,-152.2,-2180.91,22.07,2186.33
2023-06-08 9:51:54.0740,-152.19,-2181.12,21.97,2186.53
2023-06-08 9:51:54.1740,-152.13,-2181.14,22.49,2186.55
2023-06-08 9:51:54.2720,-152.1,-2181.31,22.55,2186.72
2023-06-08 9:51:54.3730,-151.92,-2180.57,22.51,2185.97
2023-06-08 9:51:54.4710,-152.4,-2181.35,22.77,2186.79
2023-06-08 9:51:54.5700,-151.94,-2180.68,22.2,2186.08
2023-06-08 9:51:54.6700,-152.61,-2181.78,22.18,2187.22
2023-06-08 9:51:54.7690,-152.43,-2180.72,20.03,2186.13
2023-06-08 9:51:54.8690,-152.63,-2179.01,19.45,2184.44
2023-06-08 9:51:54.9680,-154.36,-2178.66,21.8,2184.23
2023-06-08 9:51:55.0680,-154.94,-2177.32,21.65,2182.93
2023-06-08 9:51:55.1670,-157.48,-2174.87,23.76,2180.7
2023-06-08 9:51:55.2670,-158.33,-2172.8,23.32,2178.68
2023-06-08 9:51:55.3660,-159.02,-2171.13,22.99,2177.07
2023-06-08 9:51:55.4650,-161.03,-2169.65,24.97,2175.76
2023-06-08 9:51:55.5670,-161.98,-2167.59,25.65,2173.78
2023-06-08 9:51:55.6630,-164.4,-2167.04,29.7,2173.47
2023-06-08 9:51:55.7630,-165.83,-2165.52,30.7,2172.08
2023-06-08 9:51:55.8620,-166.69,-2164.5,30.77,2171.12
2023-06-08 9:51:55.9620,-165.52,-2161.61,29.31,2168.14
2023-06-08 9:51:56.0610,-164.87,-2161.57,27.4,2168.02
2023-06-08 9:51:56.1610,-164.23,-2160.73,24.75,2167.11
2023-06-08 9:51:56.2600,-164.98,-2159.63,24.1,2166.05
2023-06-08 9:51:56.3590,-165.36,-2158.72,22.62,2165.16
2023-06-08 9:51:56.4590,-164.13,-2157.92,20.63,2164.25
2023-06-08 9:51:56.5600,-165.38,-2156.67,20.31,2163.09
2023-06-08 9:51:56.6580,-165.89,-2156.3,20.43,2162.77
2023-06-08 9:51:56.7580,-167.49,-2154.52,22.06,2161.13
2023-06-08 9:51:56.8570,-167.46,-2151.31,20.94,2157.92
2023-06-08 9:51:56.9590,-168.65,-2150.05,20.43,2156.75
2023-06-08 9:51:57.0560,-169.78,-2149.46,19.3,2156.25
2023-06-08 9:51:57.1570,-169.13,-2148.36,15.86,2155.07
2023-06-08 9:51:57.2540,-167.23,-2147.05,11.58,2153.59
2023-06-08 9:51:57.3540,-166.15,-2145.74,8.3,2152.18
2023-06-08 9:51:57.4530,-166.21,-2143.61,8.9,2150.06
2023-06-08 9:51:57.5520,-166.36,-2142.42,7.71,2148.89
2023-06-08 9:51:57.6510,-166.13,-2141.93,6.18,2148.37
2023-06-08 9:51:57.7510,-164.77,-2141.61,9.15,2147.96
2023-06-08 9:51:57.8500,-164.35,-2138.17,8.16,2144.49
2023-06-08 9:51:57.9470,-164.66,-2135.42,4.22,2141.76
2023-06-08 9:51:58.0460,-163.94,-2134.48,4.18,2140.77
2023-06-08 9:51:58.1490,-162.61,-2133.63,3.67,2139.82
2023-06-08 9:51:58.2450,-162.76,-2132.81,4.71,2139.01
2023-06-08 9:51:58.3460,-162.68,-2131.39,7.14,2137.6
2023-06-08 9:51:58.4450,-163.28,-2130.93,9.8,2137.19
2023-06-08 9:51:58.5440,-164.64,-2130.49,12.44,2136.88
2023-06-08 9:51:58.6440,-167.97,-2131.47,13.79,2138.12
2023-06-08 9:51:58.7450,-169.85,-2130.41,12.94,2137.21
2023-06-08 9:51:58.8430,-170.78,-2129.36,15.24,2136.26
2023-06-08 9:51:58.9460,-169.9,-2130.19,15.61,2137.02
2023-06-08 9:51:59.0410,-168.57,-2129.9,14.02,2136.61
2023-06-08 9:51:59.1410,-166.98,-2130.86,12.43,2137.43
