time,Bx,By,Bz,Btotal
2023-06-06 10:37:39.6660,-62.85,3320.98,-89.42,3322.77
2023-06-06 10:37:39.7650,-62.72,3322.5,-89.42,3324.3
2023-06-06 10:37:39.8640,-62.83,3321.7,-89.82,3323.51
2023-06-06 10:37:39.9640,-62.78,3322.62,-89.26,3324.41
2023-06-06 10:37:40.0630,-63.02,3322.33,-89.54,3324.13
2023-06-06 10:37:40.1620,-62.85,3322.75,-89.52,3324.55
2023-06-06 10:37:40.2620,-62.46,3322.61,-89.52,3324.4
2023-06-06 10:37:40.3610,-63.95,3322.41,-89.62,3324.23
2023-06-06 10:37:40.4610,-65.35,3323.48,-90.68,3325.36
2023-06-06 10:37:40.5600,-66.54,3322.86,-92.58,3324.82
2023-06-06 10:37:40.6600,-67.21,3323.58,-94.48,3325.6
2023-06-06 10:37:40.7590,-67.67,3322.48,-96.54,3324.57
2023-06-06 10:37:40.8580,-66.1,3323.21,-96.55,3325.27
2023-06-06 10:37:40.9580,-66.12,3323.92,-98.73,3326.04
2023-06-06 10:37:41.0570,-64.94,3325.08,-100.75,3327.24
2023-06-06 10:37:41.1570,-61.83,3326.35,-102.01,3328.48
2023-06-06 10:37:41.2560,-60.31,3326.15,-103.69,3328.32
2023-06-06 10:37:41.3550,-59.19,3326.85,-105.19,3329.04
2023-06-06 10:37:41.4540,-59.25,3324.89,-106.7,3327.13
2023-06-06 10:37:41.5540,-58.72,3325.03,-109.81,3327.36
2023-06-06 10:37:41.6530,-57.78,3324.51,-112.47,3326.91
2023-06-06 10:37:41.7530,-56.84,3324.76,-113.84,3327.2
2023-06-06 10:37:41.8520,-56.21,3324.24,-114.8,3326.7
2023-06-06 10:37:41.9520,-53.71,3323.42,-115.29,3325.86
2023-06-06 10:37:42.0510,-50.73,3322.41,-114.05,3324.75
2023-06-06 10:37:42.1500,-46.95,3322.21,-113.52,3324.48
2023-06-06 10:37:42.2500,-41.45,3323.04,-111.39,3325.17
2023-06-06 10:37:42.3490,-32.5,3322.03,-100.26,3323.7
2023-06-06 10:37:42.4490,-26.88,3320.94,-95.14,3322.42
2023-06-06 10:37:42.5480,-24.65,3317.76,-93.44,3319.17
2023-06-06 10:37:42.6470,-24.25,3316.34,-92.11,3317.7
2023-06-06 10:37:42.7470,-24.42,3315.16,-91.83,3316.53
2023-06-06 10:37:42.8460,-24.64,3314.08,-91.42,3315.43
2023-06-06 10:37:42.9450,-22.59,3311.6,-90.77,3312.92
2023-06-06 10:37:43.0450,-19.44,3310.1,-90.09,3311.39
2023-06-06 10:37:43.1440,-15.32,3308.02,-88.02,3309.23
2023-06-06 10:37:43.2440,-11.27,3305.97,-87.2,3307.14
2023-06-06 10:37:43.3430,-7.4,3306.45,-87.4,3307.61
2023-06-06 10:37:43.4420,-2.82,3305.85,-88.07,3307.03
2023-06-06 10:37:43.5420,0.39,3304.16,-87.7,3305.33
2023-06-06 10:37:43.6420,2.05,3302.07,-87.3,3303.23
2023-06-06 10:37:43.7370,3.85,3298.95,-87.26,3300.11
2023-06-06 10:37:43.8360,5.74,3295.88,-85.85,3297.0
2023-06-06 10:37:43.9360,6.86,3293.07,-85.98,3294.2
2023-06-06 10:37:44.0350,6.22,3292.64,-86.06,3293.77
2023-06-06 10:37:44.1380,4.92,3292.59,-86.76,3293.73
2023-06-06 10:37:44.2380,5.21,3293.06,-85.54,3294.18
2023-06-06 10:37:44.3370,6.48,3294.27,-82.65,3295.32
2023-06-06 10:37:44.4360,7.77,3295.28,-80.48,3296.27
2023-06-06 10:37:44.5360,8.72,3296.76,-78.88,3297.71
2023-06-06 10:37:44.6350,9.03,3297.26,-78.69,3298.21
2023-06-06 10:37:44.7340,7.85,3297.07,-78.37,3298.01
2023-06-06 10:37:44.8340,5.47,3295.25,-79.06,3296.21
2023-06-06 10:37:44.9330,2.53,3293.51,-80.93,3294.5
2023-06-06 10:37:45.0330,3.16,3289.37,-82.04,3290.39
2023-06-06 10:37:45.1320,2.13,3292.56,-81.44,3293.57
2023-06-06 10:37:45.2310,-14.22,3316.92,-95.86,3318.33
2023-06-06 10:37:45.3310,-15.12,3330.23,-99.96,3331.76
2023-06-06 10:37:45.4300,-14.86,3326.15,-101.35,3327.73
2023-06-06 10:37:45.5300,-2.16,3301.54,-85.3,3302.64
2023-06-06 10:37:45.6290,-2.92,3289.65,-87.26,3290.81
2023-06-06 10:37:45.7280,-4.09,3290.32,-89.9,3291.55
2023-06-06 10:37:45.8280,-4.71,3291.67,-90.59,3292.92
2023-06-06 10:37:45.9270,-5.2,3290.79,-91.29,3292.06
2023-06-06 10:37:46.0270,-6.17,3288.89,-91.34,3290.16
2023-06-06 10:37:46.1260,-8.6,3287.53,-94.16,3288.89
2023-06-06 10:37:46.2250,-11.55,3287.34,-97.14,3288.8
2023-06-06 10:37:46.3250,-15.14,3287.45,-99.33,3288.98
2023-06-06 10:37:46.4240,-17.62,3288.06,-101.4,3289.67
2023-06-06 10:37:46.5240,-19.67,3287.74,-102.14,3289.39
2023-06-06 10:37:46.6230,-22.41,3288.27,-104.25,3289.99
2023-06-06 10:37:46.7220,-25.0,3290.53,-107.18,3292.37
2023-06-06 10:37:46.8220,-26.78,3292.23,-109.73,3294.17
2023-06-06 10:37:46.9210,-29.28,3294.46,-111.6,3296.48
2023-06-06 10:37:47.0200,-33.56,3294.26,-112.55,3296.35
2023-06-06 10:37:47.1200,-37.5,3295.28,-114.69,3297.49
2023-06-06 10:37:47.2190,-41.22,3294.44,-116.78,3296.77
2023-06-06 10:37:47.3190,-43.83,3295.26,-117.89,3297.66
2023-06-06 10:37:47.4180,-47.21,3295.18,-120.27,3297.71
2023-06-06 10:37:47.5170,-49.87,3295.33,-122.27,3297.98
2023-06-06 10:37:47.6170,-50.75,3296.37,-123.48,3299.08
2023-06-06 10:37:47.7120,-51.24,3297.55,-123.97,3300.28
2023-06-06 10:37:47.8120,-50.72,3299.23,-125.62,3302.01
2023-06-06 10:37:47.9110,-49.06,3301.61,-127.08,3304.42
2023-06-06 10:37:48.0100,-48.41,3302.59,-128.2,3305.43
2023-06-06 10:37:48.1130,-49.38,3302.73,-129.96,3305.66
2023-06-06 10:37:48.2120,-50.83,3303.12,-133.22,3306.2
2023-06-06 10:37:48.3110,-51.44,3304.41,-136.85,3307.64
2023-06-06 10:37:48.4110,-49.19,3302.2,-138.36,3305.46
2023-06-06 10:37:48.5100,-48.98,3301.18,-139.57,3304.5
2023-06-06 10:37:48.6100,-48.09,3301.16,-140.19,3304.48
2023-06-06 10:37:48.7090,-46.66,3300.73,-139.93,3304.03
2023-06-06 10:37:48.8080,-45.18,3301.33,-139.4,3304.58
2023-06-06 10:37:48.9080,-43.36,3302.17,-139.9,3305.42
2023-06-06 10:37:49.0070,-40.14,3304.0,-138.15,3307.13
2023-06-06 10:37:49.1070,-34.83,3304.45,-130.86,3307.23
2023-06-06 10:37:49.2060,-29.41,3302.24,-121.33,3304.6
2023-06-06 10:37:49.3050,-26.33,3300.16,-120.55,3302.46
2023-06-06 10:37:49.4050,-29.51,3301.58,-123.14,3304.01
2023-06-06 10:37:49.5040,-18.66,3299.75,-129.43,3302.34
2023-06-06 10:37:49.6030,-1.06,3299.48,-130.64,3302.06
2023-06-06 10:37:49.7030,12.39,3295.71,-131.96,3298.37
2023-06-06 10:37:49.8020,20.86,3288.15,-128.6,3290.73
2023-06-06 10:37:49.9020,5.31,3287.35,-123.59,3289.68
2023-06-06 10:37:50.0010,4.39,3288.36,-124.58,3290.72
2023-06-06 10:37:50.1000,4.66,3290.88,-125.6,3293.28
2023-06-06 10:37:50.2000,5.3,3291.15,-126.28,3293.57
2023-06-06 10:37:50.2990,6.18,3291.3,-126.71,3293.74
2023-06-06 10:37:50.3980,6.09,3288.62,-126.8,3291.07
2023-06-06 10:37:50.4980,7.0,3287.23,-128.25,3289.74
2023-06-06 10:37:50.5970,6.38,3285.47,-129.18,3288.02
2023-06-06 10:37:50.6970,5.64,3284.29,-130.67,3286.89
2023-06-06 10:37:50.7960,3.49,3284.26,-132.99,3286.95
2023-06-06 10:37:50.8950,2.47,3285.58,-134.53,3288.33
2023-06-06 10:37:50.9950,3.54,3285.61,-134.76,3288.37
2023-06-06 10:37:51.0940,4.86,3287.79,-133.08,3290.49
2023-06-06 10:37:51.1940,6.65,3289.32,-132.28,3291.99
2023-06-06 10:37:51.2930,8.06,3291.32,-133.51,3294.03
2023-06-06 10:37:51.3920,8.28,3291.47,-134.44,3294.22
2023-06-06 10:37:51.4920,7.08,3290.75,-135.45,3293.55
2023-06-06 10:37:51.5910,5.17,3291.02,-137.67,3293.9
2023-06-06 10:37:51.6880,4.07,3290.29,-139.64,3293.26
2023-06-06 10:37:51.7870,4.58,3290.09,-141.47,3293.13
2023-06-06 10:37:51.8870,1.2,3287.83,-144.29,3291.0
2023-06-06 10:37:51.9860,0.57,3287.91,-147.11,3291.2
2023-06-06 10:37:52.0890,0.59,3288.27,-149.14,3291.65
2023-06-06 10:37:52.1890,1.28,3290.09,-151.67,3293.58
2023-06-06 10:37:52.2880,4.39,3292.23,-150.73,3295.69
2023-06-06 10:37:52.3880,10.32,3293.78,-143.63,3296.93
2023-06-06 10:37:52.4870,12.39,3295.54,-145.91,3298.79
2023-06-06 10:37:52.5860,11.05,3295.99,-147.94,3299.32
2023-06-06 10:37:52.6860,9.11,3296.97,-151.23,3300.45
