time,Bx,By,Bz,Btotal
2023-06-06 10:41:46.4670,-50.56,3729.21,-428.17,3754.05
2023-06-06 10:41:46.5660,-50.66,3726.48,-427.8,3751.3
2023-06-06 10:41:46.6660,-50.49,3728.7,-428.39,3753.57
2023-06-06 10:41:46.7650,-50.45,3726.16,-428.15,3751.01
2023-06-06 10:41:46.8640,-50.66,3727.77,-428.03,3752.61
2023-06-06 10:41:46.9640,-50.66,3727.57,-428.41,3752.45
2023-06-06 10:41:47.0630,-50.7,3725.89,-428.53,3750.8
2023-06-06 10:41:47.1630,-49.64,3728.58,-428.8,3753.48
2023-06-06 10:41:47.2620,-48.42,3725.41,-430.6,3750.53
2023-06-06 10:41:47.3610,-48.32,3726.67,-432.98,3752.05
2023-06-06 10:41:47.4610,-48.17,3722.52,-434.78,3748.14
2023-06-06 10:41:47.5600,-47.88,3723.28,-437.98,3749.25
2023-06-06 10:41:47.6590,-46.44,3721.72,-443.5,3748.34
2023-06-06 10:41:47.7590,-46.18,3723.9,-451.76,3751.49
2023-06-06 10:41:47.8580,-44.79,3726.26,-459.77,3754.78
2023-06-06 10:41:47.9580,-42.71,3727.8,-466.42,3757.11
2023-06-06 10:41:48.0570,-41.5,3729.72,-472.81,3759.8
2023-06-06 10:41:48.1560,-39.84,3727.33,-476.76,3757.91
2023-06-06 10:41:48.2560,-37.85,3726.16,-480.45,3757.2
2023-06-06 10:41:48.3550,-36.25,3722.73,-483.08,3754.11
2023-06-06 10:41:48.4540,-34.88,3721.72,-485.39,3753.4
2023-06-06 10:41:48.5540,-33.67,3719.27,-488.44,3751.36
2023-06-06 10:41:48.6530,-27.81,3721.54,-491.43,3753.95
2023-06-06 10:41:48.7520,-24.35,3721.52,-496.2,3754.53
2023-06-06 10:41:48.8520,-24.02,3721.62,-499.73,3755.1
2023-06-06 10:41:48.9510,-23.76,3722.58,-502.17,3756.37
2023-06-06 10:41:49.0510,-28.49,3722.42,-499.05,3755.84
2023-06-06 10:41:49.1500,-36.41,3722.42,-490.98,3754.84
