time,Bx,By,Bz,Btotal
2023-06-06 11:54:10.5390,-843.95,-140.33,-141.66,867.19
2023-06-06 11:54:10.6390,-843.74,-140.23,-141.71,866.98
2023-06-06 11:54:10.7380,-843.87,-140.5,-141.88,867.17
2023-06-06 11:54:10.8380,-843.86,-140.38,-142.18,867.19
2023-06-06 11:54:10.9370,-843.66,-140.63,-141.39,866.91
2023-06-06 11:54:11.0360,-843.59,-140.55,-141.77,866.89
2023-06-06 11:54:11.1350,-843.76,-140.42,-141.83,867.04
2023-06-06 11:54:11.2350,-843.47,-140.49,-141.74,866.76
2023-06-06 11:54:11.3340,-844.05,-140.09,-141.35,867.19
2023-06-06 11:54:11.4340,-844.57,-140.21,-141.24,867.7
2023-06-06 11:54:11.5330,-844.58,-140.46,-141.34,867.77
2023-06-06 11:54:11.6320,-845.4,-140.19,-141.25,868.51
2023-06-06 11:54:11.7320,-846.53,-140.06,-141.47,869.63
2023-06-06 11:54:11.8310,-848.66,-140.45,-141.31,871.74
2023-06-06 11:54:11.9310,-850.83,-140.52,-141.36,873.86
2023-06-06 11:54:12.0290,-852.82,-140.85,-140.98,875.79
2023-06-06 11:54:12.1290,-854.46,-140.89,-140.54,877.32
2023-06-06 11:54:12.2290,-856.73,-141.43,-140.97,879.69
2023-06-06 11:54:12.3280,-858.26,-141.79,-141.27,881.29
2023-06-06 11:54:12.4270,-859.3,-142.07,-141.45,882.38
2023-06-06 11:54:12.5270,-860.02,-142.2,-141.1,883.04
2023-06-06 11:54:12.6260,-861.08,-142.16,-141.0,884.05
2023-06-06 11:54:12.7250,-862.0,-141.39,-140.07,884.68
2023-06-06 11:54:12.8240,-863.06,-141.13,-140.34,885.71
2023-06-06 11:54:12.9240,-863.97,-140.93,-140.04,886.52
2023-06-06 11:54:13.0230,-865.01,-141.26,-140.22,887.61
2023-06-06 11:54:13.1230,-865.52,-141.51,-139.29,888.0
2023-06-06 11:54:13.2220,-866.28,-141.38,-139.87,888.82
2023-06-06 11:54:13.3220,-867.56,-141.21,-140.25,890.1
2023-06-06 11:54:13.4240,-868.87,-141.18,-140.2,891.36
2023-06-06 11:54:13.5210,-869.73,-141.15,-140.03,892.17
2023-06-06 11:54:13.6200,-870.81,-140.79,-139.42,893.06
2023-06-06 11:54:13.7190,-871.55,-140.84,-139.36,893.78
2023-06-06 11:54:13.8190,-872.64,-140.43,-138.99,894.73
2023-06-06 11:54:13.9180,-873.27,-140.09,-138.39,895.2
2023-06-06 11:54:14.0180,-874.59,-139.46,-138.07,896.33
2023-06-06 11:54:14.1170,-875.81,-138.39,-137.98,897.35
2023-06-06 11:54:14.2160,-877.17,-137.88,-137.26,898.48
2023-06-06 11:54:14.3160,-877.83,-137.29,-137.48,899.07
2023-06-06 11:54:14.4150,-878.75,-136.76,-137.19,899.85
2023-06-06 11:54:14.5100,-879.36,-136.88,-136.41,900.34
2023-06-06 11:54:14.6090,-878.42,-136.51,-135.8,899.27
2023-06-06 11:54:14.7090,-876.75,-135.68,-134.83,897.37
2023-06-06 11:54:14.8090,-875.35,-134.96,-134.49,895.84
2023-06-06 11:54:14.9090,-875.58,-134.28,-133.73,895.86
2023-06-06 11:54:15.0080,-875.17,-133.48,-133.81,895.35
2023-06-06 11:54:15.1090,-875.18,-132.7,-133.19,895.15
2023-06-06 11:54:15.2100,-874.52,-131.73,-132.49,894.26
2023-06-06 11:54:15.3120,-873.4,-130.75,-132.09,892.96
2023-06-06 11:54:15.4130,-872.57,-129.59,-131.3,891.86
2023-06-06 11:54:15.5050,-872.24,-129.2,-131.66,891.53
2023-06-06 11:54:15.6050,-871.43,-129.22,-132.14,890.82
2023-06-06 11:54:15.7040,-870.91,-129.15,-132.02,890.28
2023-06-06 11:54:15.8030,-869.52,-128.78,-131.81,888.83
2023-06-06 11:54:15.9030,-868.51,-128.03,-131.59,887.7
